loannumber,loanamount,totaldue,termdays,days_to_approve,interest_amount,interest_rate,is_referred,approval_month,approval_year,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,level_of_education_clients,age,prev_num_loans,prev_avg_loan_amount,prev_total_borrowed,prev_avg_totaldue,prev_avg_termdays,prev_max_loannumber,prev_avg_interest_rate,prev_avg_loan_duration,prev_late_payments,prev_late_payment_rate,prev_avg_days_to_repay,target
3,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.70037,7.3943183,Access Bank,Permanent,,34.0,2.0,10000.0,20000.0,13000.0,30.0,2.0,0.3,28.0,0.0,0.0,-1.0,0
3,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,Other,3.3718018,6.5169394,UBA,Permanent,,37.0,2.0,10000.0,20000.0,12250.0,22.5,2.0,0.22499999999999998,25.0,1.0,0.5,3.0,0
2,10000.0,11500.0,15,0,1500.0,0.15,1,7,2017,Savings,3.3661119,6.5975949,GT Bank,,,36.0,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,13.0,0.0,0.0,-1.0,1
15,40000.0,44000.0,30,0,4000.0,0.1,0,7,2017,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,,42.0,14.0,26428.571428571428,370000.0,29717.85714285714,23.571428571428573,14.0,0.1288095238095238,20.785714285714285,2.0,0.14285714285714285,-2.7142857142857144,0
10,30000.0,34500.0,30,0,4500.0,0.15,0,7,2017,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,,32.0,9.0,20000.0,180000.0,22611.11111111111,20.0,9.0,0.13092592592592592,16.22222222222222,1.0,0.1111111111111111,-3.6666666666666665,0
3,10000.0,13000.0,30,0,3000.0,0.3,1,7,2017,Savings,3.345346,6.5617308,GT Bank,Permanent,,40.0,2.0,10000.0,20000.0,13000.0,30.0,2.0,0.3,22.5,0.0,0.0,-7.0,0
2,10000.0,11500.0,15,0,1500.0,0.15,1,7,2017,Savings,3.5246642,6.6592427,First Bank,Permanent,,25.0,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,9.0,0.0,0.0,-6.0,1
7,25000.0,28750.0,30,0,3750.0,0.15,0,7,2017,Savings,7.1694297,9.2174068,GT Bank,,,35.0,6.0,13333.333333333334,80000.0,15020.833333333334,15.0,6.0,0.13125,12.833333333333334,2.0,0.3333333333333333,-2.6666666666666665,0
3,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.8701435,7.3979258,GT Bank,Permanent,,36.0,2.0,10000.0,20000.0,12250.0,22.5,2.0,0.22499999999999998,21.5,0.0,0.0,0.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.9809867,7.4239296,GT Bank,Permanent,,30.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,5.0,0.0,0.0,-26.0,0
3,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.35763,6.668355,GT Bank,Permanent,,31.0,2.0,10000.0,20000.0,12250.0,22.5,2.0,0.22499999999999998,11.5,0.0,0.0,-11.0,0
4,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,Savings,6.8004083,6.1594433,Union Bank,Permanent,,26.0,3.0,10000.0,30000.0,11500.0,15.0,3.0,0.15,12.666666666666666,0.0,0.0,-3.3333333333333335,0
2,10000.0,11500.0,15,0,1500.0,0.15,1,7,2017,Savings,3.2205031,6.5319046,GT Bank,Permanent,,34.0,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,9.0,0.0,0.0,-6.0,0
5,20000.0,22250.0,15,0,2250.0,0.1125,0,7,2017,Savings,3.479829,6.4489694,GT Bank,Permanent,,32.0,4.0,12500.0,50000.0,15500.0,26.25,4.0,0.24375,21.75,1.0,0.25,-4.75,0
6,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,,,,,,,,5.0,10000.0,50000.0,13000.0,30.0,5.0,0.3,48.2,4.0,0.8,18.0,1
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.259777,6.5532982,UBA,Permanent,,27.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,6.0,0.0,0.0,-24.0,0
5,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,Savings,7.4401471,8.9494179,First Bank,,,42.0,4.0,12500.0,50000.0,15875.0,30.0,4.0,0.28125,29.75,0.0,0.0,0.0,0
10,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,Other,3.4085368,6.4281638,First Bank,Permanent,Graduate,33.0,9.0,13333.333333333334,120000.0,16211.111111111111,25.0,9.0,0.22722222222222221,24.333333333333332,2.0,0.2222222222222222,-0.8888888888888888,0
4,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,Savings,3.2934205,6.6400639,FCMB,Permanent,,36.0,3.0,10000.0,30000.0,13000.0,30.0,3.0,0.3,29.0,0.0,0.0,0.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,,,,,,,,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,25.0,1.0,1.0,10.0,0
5,20000.0,22250.0,15,0,2250.0,0.1125,0,7,2017,Other,5.6140915,6.3906691,UBA,Student,,25.0,4.0,15000.0,60000.0,18750.0,30.0,4.0,0.2625,27.5,1.0,0.25,-3.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,1,7,2017,Savings,3.3594054,6.605609,UBA,Permanent,,30.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,24.0,0.0,0.0,-6.0,0
2,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,Savings,2.957738,6.5342122,GT Bank,Permanent,,37.0,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,14.0,0.0,0.0,-1.0,0
8,30000.0,34500.0,30,0,4500.0,0.15,0,7,2017,,,,,,,,7.0,17142.85714285714,120000.0,19664.285714285714,19.285714285714285,7.0,0.1475,14.428571428571429,0.0,0.0,-4.571428571428571,0
15,40000.0,44000.0,30,0,4000.0,0.1,0,7,2017,Other,12.4805166,9.2099548,GT Bank,Permanent,,30.0,14.0,29285.714285714286,410000.0,33485.71428571428,30.0,14.0,0.16642857142857143,24.785714285714285,4.0,0.2857142857142857,-5.5,0
4,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,,,,,,,,3.0,10000.0,30000.0,12000.0,20.0,3.0,0.19999999999999998,30.666666666666668,3.0,1.0,10.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,1,7,2017,,,,,,,,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,13.0,0.0,0.0,-3.0,0
3,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,Savings,3.30555,6.5103567,GT Bank,,,42.0,2.0,10000.0,20000.0,11500.0,15.0,2.0,0.15,14.0,0.0,0.0,-2.0,0
4,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,Savings,3.9036073,7.3393735,GT Bank,Permanent,,32.0,3.0,10000.0,30000.0,13000.0,30.0,3.0,0.3,16.666666666666668,0.0,0.0,-12.666666666666666,0
5,20000.0,22250.0,15,0,2250.0,0.1125,0,7,2017,,,,,,,,4.0,12500.0,50000.0,14187.5,15.0,4.0,0.140625,16.0,2.0,0.5,0.25,0
2,10000.0,13000.0,30,0,3000.0,0.3,1,7,2017,Savings,3.6595105,6.6681408,GT Bank,Permanent,,32.0,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,14.0,0.0,0.0,0.0,0
8,30000.0,34500.0,30,0,4500.0,0.15,0,7,2017,Other,8.6713276,9.0830135,GT Bank,Permanent,,30.0,7.0,14285.714285714286,100000.0,17928.571428571428,30.0,7.0,0.26785714285714285,22.571428571428573,0.0,0.0,-7.714285714285714,0
9,20000.0,22250.0,15,0,2250.0,0.1125,0,7,2017,Savings,3.5579715,6.4634231,GT Bank,Permanent,,44.0,8.0,17500.0,140000.0,20706.25,26.25,8.0,0.1978125,24.125,1.0,0.125,-1.875,0
3,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,,,,,,,,2.0,10000.0,20000.0,13000.0,30.0,2.0,0.3,27.0,0.0,0.0,-2.5,0
6,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,Savings,5.3269784,7.799699,Access Bank,Permanent,,56.0,5.0,14000.0,70000.0,17460.0,30.0,5.0,0.263,21.2,0.0,0.0,-9.2,0
3,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.5159825,6.7062641,Zenith Bank,Permanent,,32.0,2.0,10000.0,20000.0,12250.0,22.5,2.0,0.22499999999999998,22.5,0.0,0.0,-0.5,0
4,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.2643932,6.5667918,GT Bank,,,34.0,3.0,10000.0,30000.0,12000.0,20.0,3.0,0.19999999999999998,24.333333333333332,2.0,0.6666666666666666,2.6666666666666665,1
4,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,Current,3.9074055,6.8171079,UBA,Permanent,,32.0,3.0,10000.0,30000.0,13000.0,30.0,3.0,0.3,24.333333333333332,0.0,0.0,-6.333333333333333,0
2,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,Savings,3.3229955,6.6538756,Access Bank,,,34.0,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,13.0,0.0,0.0,-2.0,0
5,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,,,,,,,,4.0,12500.0,50000.0,15875.0,30.0,4.0,0.28125,24.25,0.0,0.0,-6.75,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.8710285,7.307713,First Bank,Permanent,,34.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,8.0,0.0,0.0,-25.0,0
5,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,,,,,,,,4.0,11250.0,45000.0,14343.75,30.0,4.0,0.28125,20.5,0.0,0.0,-9.75,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,7.4847391,8.9966162,UBA,Permanent,,32.0,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,13.0,0.0,0.0,-2.0,0
8,40000.0,48000.0,60,0,8000.0,0.2,0,7,2017,Savings,3.3427681,6.5094142,GT Bank,Self-Employed,Graduate,42.0,7.0,17142.85714285714,120000.0,20800.0,30.0,7.0,0.1880952380952381,17.857142857142858,1.0,0.14285714285714285,-9.285714285714286,0
17,40000.0,44000.0,30,0,4000.0,0.1,0,7,2017,Other,3.4339027,6.8257862,GT Bank,Unemployed,Secondary,48.0,16.0,27500.0,440000.0,31459.375,29.0625,16.0,0.175,26.5625,3.0,0.1875,-3.3125,0
4,20000.0,22250.0,15,0,2250.0,0.1125,0,7,2017,Savings,-2.9799497,56.464013,Zenith Bank,Student,Graduate,25.0,3.0,10000.0,30000.0,12000.0,20.0,3.0,0.19999999999999998,15.666666666666666,0.0,0.0,-6.0,1
12,30000.0,34500.0,30,0,4500.0,0.15,0,7,2017,Savings,7.4941013,8.9654194,First Bank,Permanent,,48.0,11.0,20000.0,220000.0,23156.81818181818,24.545454545454547,11.0,0.1565909090909091,24.181818181818183,3.0,0.2727272727272727,-0.8181818181818182,0
7,30000.0,39000.0,60,0,9000.0,0.3,0,7,2017,,,,,,,,6.0,15000.0,90000.0,19133.333333333332,35.0,6.0,0.2816666666666667,34.333333333333336,0.0,0.0,-1.6666666666666667,1
12,30000.0,34500.0,30,0,4500.0,0.15,0,7,2017,Other,8.3232966,4.9612435,GT Bank,Self-Employed,Secondary,39.0,11.0,19090.909090909092,210000.0,22236.363636363636,24.545454545454547,11.0,0.16424242424242425,23.545454545454547,3.0,0.2727272727272727,-0.8181818181818182,1
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,,,,,,,,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,9.0,0.0,0.0,-5.0,0
12,40000.0,48000.0,60,0,8000.0,0.2,0,7,2017,Savings,3.1696445,6.6879675,Stanbic IBTC,Permanent,,30.0,11.0,20909.090909090908,230000.0,23900.0,23.181818181818183,11.0,0.13803030303030303,15.090909090909092,2.0,0.18181818181818182,-6.0,0
5,20000.0,24500.0,30,0,4500.0,0.225,1,7,2017,,,,,,,,4.0,12500.0,50000.0,14750.0,18.75,4.0,0.16875,17.25,0.0,0.0,-0.75,0
7,30000.0,39000.0,60,0,9000.0,0.3,0,7,2017,Savings,3.9628733,7.3864283,UBA,Permanent,,35.0,6.0,15000.0,90000.0,18383.333333333332,27.5,6.0,0.23166666666666666,19.833333333333332,0.0,0.0,-7.333333333333333,0
3,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,,,,,,,,2.0,10000.0,20000.0,13000.0,30.0,2.0,0.3,27.0,0.0,0.0,-2.5,0
10,40000.0,44000.0,30,0,4000.0,0.1,0,7,2017,,,,,,,,9.0,22222.222222222223,200000.0,26000.0,30.0,9.0,0.20296296296296296,22.0,0.0,0.0,-7.777777777777778,0
5,30000.0,39000.0,60,0,9000.0,0.3,0,7,2017,Savings,6.785373,6.1538848,Fidelity Bank,Permanent,,33.0,4.0,15000.0,60000.0,18750.0,30.0,4.0,0.26249999999999996,21.0,0.0,0.0,-8.75,0
2,10000.0,13000.0,30,0,3000.0,0.3,1,7,2017,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,28.0,0.0,0.0,-4.0,0
3,10000.0,13000.0,30,0,3000.0,0.3,1,7,2017,,,,,,,,2.0,10000.0,20000.0,13000.0,30.0,2.0,0.3,20.0,0.0,0.0,-10.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.8485124,7.3684474,Access Bank,Permanent,,30.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,29.0,0.0,0.0,0.0,0
3,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,,,,,,,,2.0,10000.0,20000.0,13000.0,30.0,2.0,0.3,32.0,1.0,0.5,2.0,0
8,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.3562934,6.5295153,GT Bank,Unemployed,Secondary,30.0,7.0,14285.714285714286,100000.0,17500.0,27.857142857142858,7.0,0.24107142857142858,43.285714285714285,4.0,0.5714285714285714,15.428571428571429,0
6,30000.0,34500.0,30,0,4500.0,0.15,0,7,2017,Savings,3.4575733,6.8170067,GT Bank,Permanent,,26.0,5.0,14000.0,70000.0,16550.0,21.0,5.0,0.1875,17.0,0.0,0.0,-3.6,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.1941288,6.5054402,UBA,Student,,22.0,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,11.0,0.0,0.0,-4.0,0
4,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,,,,,,,,3.0,13333.333333333334,40000.0,16833.333333333332,30.0,3.0,0.27499999999999997,29.666666666666668,1.0,0.3333333333333333,0.3333333333333333,0
6,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,Savings,3.3704039,6.5613766,GT Bank,Permanent,,40.0,5.0,14000.0,70000.0,16150.0,18.0,5.0,0.1525,14.6,0.0,0.0,-3.8,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.5754168,6.8846432,UBA,Permanent,,31.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,28.0,0.0,0.0,-5.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Other,6.5298068,9.6558677,Diamond Bank,Permanent,,31.0,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,11.0,0.0,0.0,-6.0,0
8,30000.0,34500.0,30,0,4500.0,0.15,0,7,2017,Savings,3.0422946,7.0111402,First Bank,Permanent,,37.0,7.0,17142.85714285714,120000.0,20371.428571428572,25.714285714285715,7.0,0.19357142857142856,23.0,0.0,0.0,-2.4285714285714284,0
4,10000.0,11125.0,15,0,1125.0,0.1125,0,7,2017,,,,,,,,3.0,10000.0,30000.0,11500.0,15.0,3.0,0.15,7.666666666666667,0.0,0.0,-7.333333333333333,0
5,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,,,,,,,,4.0,12500.0,50000.0,15875.0,30.0,4.0,0.28125,27.75,1.0,0.25,-2.75,0
11,30000.0,34500.0,30,0,4500.0,0.15,0,7,2017,Other,3.3296052,6.6641726,Diamond Bank,Self-Employed,Secondary,38.0,10.0,18000.0,180000.0,21760.0,28.5,10.0,0.21800000000000003,28.1,5.0,0.5,-1.0,0
12,30000.0,34500.0,30,0,4500.0,0.15,0,7,2017,Other,8.3422141,4.9916379,UBA,Self-Employed,Graduate,36.0,11.0,20000.0,220000.0,24036.363636363636,30.0,11.0,0.21545454545454545,36.09090909090909,4.0,0.36363636363636365,6.0,1
6,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,Savings,3.3189105,6.475366,Diamond Bank,Permanent,,42.0,5.0,14000.0,70000.0,17600.0,30.0,5.0,0.27,26.4,0.0,0.0,-3.8,0
8,15000.0,16687.5,15,0,1687.5,0.1125,0,7,2017,Savings,3.0761816,6.5206408,Wema Bank,Permanent,Graduate,44.0,7.0,11428.57142857143,80000.0,13189.285714285714,17.142857142857142,7.0,0.15999999999999998,19.857142857142858,4.0,0.5714285714285714,1.7142857142857142,0
2,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,,,,,,,,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,14.0,0.0,0.0,-1.0,0
15,50000.0,52500.0,30,0,2500.0,0.05,0,7,2017,Other,3.4569749,6.4445183,Access Bank,Permanent,Graduate,37.0,14.0,30000.0,420000.0,33742.857142857145,25.714285714285715,14.0,0.1282142857142857,20.5,0.0,0.0,-5.642857142857143,0
2,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,23.0,0.0,0.0,-6.0,0
9,30000.0,34500.0,30,0,4500.0,0.15,0,7,2017,Savings,7.4031311,9.0338175,GT Bank,Permanent,,32.0,8.0,17500.0,140000.0,20987.5,30.0,8.0,0.22125,19.75,0.0,0.0,-10.75,0
2,10000.0,13000.0,30,0,3000.0,0.3,1,7,2017,Savings,3.2987679,6.6817293,Sterling Bank,Permanent,,33.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,26.0,0.0,0.0,-4.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,1,7,2017,Savings,7.42814,10.5155267,Access Bank,Permanent,,26.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,28.0,0.0,0.0,-2.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.5643465,6.4670586,Zenith Bank,,,31.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,25.0,0.0,0.0,-4.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.9192159,6.834497,Access Bank,Permanent,,34.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,24.0,0.0,0.0,-6.0,0
3,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.3329005,6.5848311,Skye Bank,Permanent,,35.0,2.0,10000.0,20000.0,13000.0,30.0,2.0,0.3,26.5,0.0,0.0,-3.5,0
9,40000.0,44000.0,30,0,4000.0,0.1,0,7,2017,Savings,4.5164514,7.5221913,Access Bank,Student,,26.0,8.0,18750.0,150000.0,22525.0,31.875,8.0,0.21208333333333332,26.375,0.0,0.0,-4.625,0
4,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,Savings,7.9308565,5.0315413,Access Bank,Permanent,,33.0,3.0,10000.0,30000.0,11500.0,15.0,3.0,0.15,16.333333333333332,0.0,0.0,-0.6666666666666666,0
2,10000.0,13000.0,30,0,3000.0,0.3,1,7,2017,Savings,7.3739783,8.9866,GT Bank,Permanent,,27.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,30.0,0.0,0.0,-2.0,0
2,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,Savings,7.5247928,6.4143695,Diamond Bank,Permanent,,47.0,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,6.0,0.0,0.0,-8.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.516056,6.6697184,Access Bank,Permanent,,27.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,21.0,0.0,0.0,-8.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.2906601,6.5762048,GT Bank,Unemployed,,34.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,22.0,0.0,0.0,-7.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,6.9935739,4.787991,Access Bank,Permanent,,38.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,28.0,0.0,0.0,-1.0,1
5,20000.0,22250.0,15,0,2250.0,0.1125,0,7,2017,Savings,5.74397,5.5321806,UBA,Permanent,,23.0,4.0,12500.0,50000.0,14187.5,15.0,4.0,0.140625,14.5,0.0,0.0,-0.5,0
4,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,,,,,,,,3.0,10000.0,30000.0,12500.0,25.0,3.0,0.25,7.666666666666667,0.0,0.0,-17.333333333333332,0
2,10000.0,13000.0,30,0,3000.0,0.3,1,7,2017,Savings,4.4920481,8.4683092,GT Bank,Permanent,,41.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,28.0,0.0,0.0,-3.0,0
3,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,,,,,,,,2.0,10000.0,20000.0,11500.0,15.0,2.0,0.15,18.5,2.0,1.0,2.0,1
9,40000.0,48000.0,60,0,8000.0,0.2,0,7,2017,Savings,3.2907677,6.5763859,Stanbic IBTC,Permanent,Graduate,38.0,8.0,27500.0,220000.0,33412.5,48.75,8.0,0.23229166666666667,33.625,1.0,0.125,-1.625,0
4,20000.0,22250.0,15,0,2250.0,0.1125,0,7,2017,Savings,3.4585124,6.4391929,GT Bank,Permanent,,33.0,3.0,10000.0,30000.0,12500.0,25.0,3.0,0.25,22.333333333333332,0.0,0.0,-1.6666666666666667,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,23.0,0.0,0.0,-7.0,0
2,10000.0,11500.0,15,0,1500.0,0.15,1,7,2017,Savings,3.8715045,7.4209592,Access Bank,,,33.0,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,0.0,0.0,0.0,-15.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,8.0,0.0,0.0,-22.0,0
3,10000.0,11500.0,15,0,1500.0,0.15,1,7,2017,Savings,6.975335,4.8818767,Access Bank,Permanent,,44.0,2.0,10000.0,20000.0,13000.0,30.0,2.0,0.3,27.0,0.0,0.0,-3.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.3399935,6.6387534,GT Bank,Permanent,,32.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,54.0,1.0,1.0,23.0,0
5,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,Savings,7.081465,4.847945,GT Bank,Permanent,,33.0,4.0,12500.0,50000.0,15125.0,22.5,4.0,0.20625,20.25,0.0,0.0,-1.75,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,15.0,0.0,0.0,-14.0,0
4,20000.0,24500.0,30,0,4500.0,0.225,0,7,2017,Savings,3.39221,6.5391844,Diamond Bank,Permanent,,32.0,3.0,10000.0,30000.0,13000.0,30.0,3.0,0.3,25.666666666666668,0.0,0.0,-4.333333333333333,0
